community_area_name;total_crimes;poverty_rate;risk_category
Rogers Park;39629;23,6;AVERAGE RISK
West Ridge;35403;17,2;AVERAGE RISK
Uptown;37914;24;LOW RISK
Lincoln Square;19716;10,9;VERY LOW RISK
North Center;13286;7,5;VERY LOW RISK
Lake View;58656;11,4;VERY LOW RISK
Lincoln Park;40014;12,3;VERY LOW RISK
Near North Side;109799;12,9;VERY LOW RISK
Edison Park;2801;3,3;VERY LOW RISK
Norwood Park;12092;5,4;VERY LOW RISK
Jefferson Park;10321;8,6;LOW RISK
Forest Glen;5269;7,5;VERY LOW RISK
North Park;9292;13,2;LOW RISK
Albany Park;23271;19,2;AVERAGE RISK
Portage Park;31090;11,6;LOW RISK
Irving Park;26561;13,1;LOW RISK
Dunning;15714;10,6;LOW RISK
Montclaire;6313;15,3;AVERAGE RISK
Belmont Cragin;43850;18,7;MODERATE RISK
Hermosa;13981;20,5;MODERATE RISK
Avondale;21662;15,3;AVERAGE RISK
Logan Square;47570;16,8;LOW RISK
Humboldt park;72059;33,9;HIGH RISK
West Town;73048;14,7;LOW RISK
Austin;137672;28,6;HIGH RISK
West Garfield Park;47940;41,7;HIGH RISK
East Garfield Park;42971;42,4;HIGH RISK
Near West Side;93186;20,6;LOW RISK
North Lawndale;77966;43,1;HIGH RISK
South Lawndale;41887;30,7;HIGH RISK
Lower West Side;26354;25,8;MODERATE RISK
Loop;87509;14,7;VERY LOW RISK
Near South Side;21794;13,8;VERY LOW RISK
Armour Square;10545;40,1;MODERATE RISK
Douglas;27362;29,6;AVERAGE RISK
Oakland;7458;39,7;MODERATE RISK
Fuller Park;7623;51,2;HIGH RISK
Grand Boulevard;34076;29,3;MODERATE RISK
Kenwood;16597;21,7;LOW RISK
Washington Park;24547;42,1;HIGH RISK
Hyde Park;20291;18,4;VERY LOW RISK
Woodlawn;35269;30,7;MODERATE RISK
South Shore;84268;31,1;MODERATE RISK
Chatham;61160;27,8;MODERATE RISK
Avalon Park;12086;17,2;AVERAGE RISK
South Chicago;41907;29,8;MODERATE RISK
Burnside;3485;33;MODERATE RISK
Calumet Heights;13943;11,5;LOW RISK
Roseland;62426;19,8;MODERATE RISK
Pullman;10939;21,6;AVERAGE RISK
South Deering;18116;29,2;AVERAGE RISK
East Side;12126;19,2;AVERAGE RISK
West Pullman;37558;25,9;MODERATE RISK
Riverdale;12522;56,5;HIGH RISK
Hegewisch;6568;17,1;LOW RISK
Garfield Ridge;19991;8,8;LOW RISK
Archer Heights;9112;14,1;AVERAGE RISK
Brighton Park;21832;23,6;MODERATE RISK
McKinley Park;9207;18,7;AVERAGE RISK
Bridgeport;15461;18,9;AVERAGE RISK
New City;41625;29;HIGH RISK
West Elsdon;9497;15,6;AVERAGE RISK
Gage Park;21669;23,4;HIGH RISK
Clearing;10087;8,9;LOW RISK
West Lawn;17412;14,9;AVERAGE RISK
Chicago Lawn;53138;27,9;MODERATE RISK
West Englewood;57404;34,4;HIGH RISK
Englewood;54997;46,6;HIGH RISK
Greater Grand Crossing;63874;29,6;MODERATE RISK
Ashburn;22844;10,4;LOW RISK
Auburn Gresham;69156;27,6;HIGH RISK
Beverly;9342;5,1;VERY LOW RISK
Washington Height;30364;16,9;AVERAGE RISK
Mount Greenwood;5503;3,4;VERY LOW RISK
Morgan Park;19442;13,2;LOW RISK
O'Hare;16857;15,4;LOW RISK
Edgewater;28293;18,2;LOW RISK
